,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
85,8477951.0,Nick Schmaltz,C,ARI,27,79.0,22.0,39.0,61.0
86,8478366.0,Frank Vatrano,R,ANA,29,82.0,37.0,23.0,60.0
87,8476448.0,William Karlsson,C,VGK,30,70.0,30.0,30.0,60.0
88,8475745.0,Charlie Coyle,C,BOS,31,82.0,25.0,35.0,60.0
89,8473994.0,Jamie Benn,L,DAL,34,82.0,21.0,39.0,60.0
90,8475798.0,Mikael Granlund,C,SJS,31,69.0,12.0,48.0,60.0
91,8476346.0,Johnny Gaudreau,L,CBJ,30,81.0,12.0,48.0,60.0
92,8481068.0,Yegor Sharangovich,C,CGY,25,82.0,31.0,28.0,59.0
93,8477497.0,Sean Monahan,C,WPG,29,83.0,26.0,33.0,59.0
94,8477949.0,Alex Tuch,R,BUF,27,75.0,22.0,37.0,59.0
95,8478401.0,Pavel Zacha,C,BOS,26,78.0,21.0,38.0,59.0
96,8477416.0,Oliver Bjorkstrand,R,SEA,28,82.0,20.0,39.0,59.0
97,8480839.0,Rasmus Dahlin,D,BUF,23,81.0,20.0,39.0,59.0
98,8476853.0,Morgan Rielly,D,TOR,29,72.0,7.0,51.0,58.0
99,8479675.0,Trevor Moore,L,LAK,28,82.0,31.0,26.0,57.0
100,8482109.0,Alexis Lafrenière,L,NYR,22,82.0,28.0,29.0,57.0
101,8479999.0,Casey Mittelstadt,C,BUF,25,80.0,18.0,39.0,57.0
102,8481711.0,Matias Maccelli,L,ARI,23,82.0,17.0,40.0,57.0
103,8478460.0,Zach Werenski,D,CBJ,26,70.0,11.0,46.0,57.0
104,8479420.0,Tage Thompson,C,BUF,26,71.0,29.0,27.0,56.0
105,8475810.0,Bryan Rust,R,PIT,31,62.0,28.0,28.0,56.0
